,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.25293289535429375,0.33930348258706466,0.8202824133504493,0.9274406332453826
candR@3,0.3693101830126701,0.47562189054726367,0.8818998716302953,0.9676781002638523
candR@10,0.5194744251525105,0.6079601990049751,0.9409499358151476,0.9881266490765171
candR@30,0.662599718442046,0.7154228855721393,0.9807445442875481,0.9953825857519789
candR@100,0.7939934303144064,0.8119402985074626,0.9910141206675225,0.9986807387862797
candMRR,0.34175706512585946,0.4322420764723986,0.8613892312455277,0.9501325818459873
hit1pred_nonm49%_P@top0.1,0.4084507042253521,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.4025974025974026,0.2781456953642384
hit3pred_nonm49%_P@top0.1,0.39906103286384975,,,
hit3pred_nonm90%_P@top0.1,0.0,0.01,0.05194805194805195,0.2913907284768212
hit10pred_nonm49%_P@top0.1,0.45539906103286387,,,
hit10pred_nonm90%_P@top0.1,0.009389671361502348,0.03,0.07792207792207792,0.23841059602649006
hit1pred_nonm48%_P@top0.1,,0.44,,0.7880794701986755
hit3pred_nonm48%_P@top0.1,,0.45,,0.8344370860927153
hit10pred_nonm48%_P@top0.1,,0.49,,0.8741721854304636
hit1pred_nonm51%_P@top0.1,,,0.7402597402597403,
hit3pred_nonm51%_P@top0.1,,,0.7402597402597403,
hit10pred_nonm51%_P@top0.1,,,0.7792207792207793,
