,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.25574847489441577,0.3572139303482587,0.803594351732991,0.8984168865435356
candR@3,0.3697794462693571,0.4786069651741294,0.8690629011553274,0.945910290237467
candR@10,0.5251055842327546,0.6268656716417911,0.9306803594351734,0.9782321899736148
candR@30,0.6555607695917409,0.7223880597014926,0.9640564826700898,0.9940633245382586
candR@100,0.7827311121539183,0.8248756218905473,0.9897304236200257,1.0
candMRR,0.3408284059101106,0.4442348373051291,0.8463550172175273,0.9263572475093647
hit1pred_nonm49%_P@top0.1,0.38028169014084506,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.2597402597402597,0.2582781456953642
hit3pred_nonm49%_P@top0.1,0.39906103286384975,,,
hit3pred_nonm90%_P@top0.1,0.0,0.04,0.06493506493506493,0.1986754966887417
hit10pred_nonm49%_P@top0.1,0.4507042253521127,,,
hit10pred_nonm90%_P@top0.1,0.009389671361502348,0.05,0.1038961038961039,0.2185430463576159
hit1pred_nonm48%_P@top0.1,,0.43,,0.7549668874172185
hit3pred_nonm48%_P@top0.1,,0.44,,0.7880794701986755
hit10pred_nonm48%_P@top0.1,,0.49,,0.847682119205298
hit1pred_nonm51%_P@top0.1,,,0.7012987012987013,
hit3pred_nonm51%_P@top0.1,,,0.7402597402597403,
hit10pred_nonm51%_P@top0.1,,,0.7792207792207793,
