,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.0004692632566870014,0.0009950248756218905,0.0012836970474967907,0.005277044854881266
candR@3,0.003754106053496011,0.0009950248756218905,0.007702182284980745,0.014511873350923483
candR@10,0.011731581417175035,0.013930348258706468,0.03209242618741977,0.04551451187335093
candR@30,0.03144063819802909,0.03980099502487562,0.11553273427471117,0.1345646437994723
candR@100,0.1022993899577663,0.13930348258706468,0.38254172015404364,0.4571240105540897
candMRR,0.005310595016490846,0.006020258016163047,0.0164443917375613,0.0247180648049286
hit1pred_nonm49%_P@top0.1,0.0,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.0,0.0
hit3pred_nonm49%_P@top0.1,0.004694835680751174,,,
hit3pred_nonm90%_P@top0.1,0.0,0.0,0.0,0.0
hit10pred_nonm49%_P@top0.1,0.004694835680751174,,,
hit10pred_nonm90%_P@top0.1,0.0,0.0,0.0,0.0
hit1pred_nonm48%_P@top0.1,,0.0,,0.0
hit3pred_nonm48%_P@top0.1,,0.0,,0.013245033112582781
hit10pred_nonm48%_P@top0.1,,0.0,,0.013245033112582781
hit1pred_nonm51%_P@top0.1,,,0.0,
hit3pred_nonm51%_P@top0.1,,,0.0,
hit10pred_nonm51%_P@top0.1,,,0.0,
