,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.25668700140778977,0.40298507462686567,0.8600770218228498,0.9445910290237467
candR@3,0.3735335523228531,0.5104477611940299,0.9114249037227214,0.9782321899736148
candR@10,0.5274519005161896,0.6368159203980099,0.9512195121951219,0.9934036939313984
candR@30,0.6701079305490381,0.746268656716418,0.9833119383825417,0.9947229551451188
candR@100,0.8057250117315814,0.8388059701492537,0.993581514762516,0.9973614775725593
candMRR,0.34542915534370633,0.4840351258746946,0.8923013610922608,0.9630206017802835
hit1pred_nonm49%_P@top0.1,0.3568075117370892,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.44155844155844154,0.26490066225165565
hit3pred_nonm49%_P@top0.1,0.38028169014084506,,,
hit3pred_nonm90%_P@top0.1,0.0,0.01,0.05194805194805195,0.25165562913907286
hit10pred_nonm49%_P@top0.1,0.41784037558685444,,,
hit10pred_nonm90%_P@top0.1,0.009389671361502348,0.02,0.07792207792207792,0.33774834437086093
hit1pred_nonm48%_P@top0.1,,0.4,,0.7814569536423841
hit3pred_nonm48%_P@top0.1,,0.36,,0.8278145695364238
hit10pred_nonm48%_P@top0.1,,0.43,,0.8609271523178808
hit1pred_nonm51%_P@top0.1,,,0.7402597402597403,
hit3pred_nonm51%_P@top0.1,,,0.7142857142857143,
hit10pred_nonm51%_P@top0.1,,,0.7532467532467533,
