,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.2656030032848428,0.4099502487562189,0.8729139922978177,0.9498680738786279
candR@3,0.38526513374002813,0.5383084577114428,0.9281129653401797,0.9828496042216359
candR@10,0.5443453777569216,0.6487562189054726,0.962772785622593,0.991424802110818
candR@30,0.687939934303144,0.7651741293532338,0.9833119383825417,0.9973614775725593
candR@100,0.8155795401220084,0.8388059701492537,0.9961489088575096,0.9993403693931399
candMRR,0.35599820000580373,0.49399896100475693,0.9052608414087774,0.9676411710175248
hit1pred_nonm49%_P@top0.1,0.352112676056338,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.2857142857142857,0.26490066225165565
hit3pred_nonm49%_P@top0.1,0.3380281690140845,,,
hit3pred_nonm90%_P@top0.1,0.0,0.01,0.05194805194805195,0.25165562913907286
hit10pred_nonm49%_P@top0.1,0.3615023474178404,,,
hit10pred_nonm90%_P@top0.1,0.018779342723004695,0.03,0.07792207792207792,0.271523178807947
hit1pred_nonm48%_P@top0.1,,0.37,,0.7615894039735099
hit3pred_nonm48%_P@top0.1,,0.37,,0.8410596026490066
hit10pred_nonm48%_P@top0.1,,0.39,,0.8609271523178808
hit1pred_nonm51%_P@top0.1,,,0.7662337662337663,
hit3pred_nonm51%_P@top0.1,,,0.7272727272727273,
hit10pred_nonm51%_P@top0.1,,,0.7532467532467533,
