,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.2857813233223839,0.3990049751243781,0.8523748395378691,0.9300791556728232
candR@3,0.4293758798686063,0.5203980099502488,0.8960205391527599,0.9643799472295514
candR@10,0.5692163303613327,0.6497512437810945,0.9486521181001284,0.9848284960422163
candR@30,0.7109338338808071,0.7522388059701492,0.9768934531450578,0.9920844327176781
candR@100,0.8268418582824965,0.8348258706467662,0.9948652118100129,0.9993403693931399
candMRR,0.3842173877753883,0.4835887679968464,0.8823846943769481,0.9498883006191889
hit1pred_nonm49%_P@top0.1,0.3568075117370892,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.2727272727272727,0.271523178807947
hit3pred_nonm49%_P@top0.1,0.3755868544600939,,,
hit3pred_nonm90%_P@top0.1,0.0,0.01,0.05194805194805195,0.2119205298013245
hit10pred_nonm49%_P@top0.1,0.39906103286384975,,,
hit10pred_nonm90%_P@top0.1,0.009389671361502348,0.05,0.07792207792207792,0.2119205298013245
hit1pred_nonm48%_P@top0.1,,0.38,,0.7417218543046358
hit3pred_nonm48%_P@top0.1,,0.35,,0.7814569536423841
hit10pred_nonm48%_P@top0.1,,0.42,,0.8211920529801324
hit1pred_nonm51%_P@top0.1,,,0.7142857142857143,
hit3pred_nonm51%_P@top0.1,,,0.7142857142857143,
hit10pred_nonm51%_P@top0.1,,,0.7532467532467533,
