,hard_lost,hard_found,simple_lost,simple_found
nmatchable,2131.0,1005.0,779.0,1516.0
candR@1,0.22524636320976069,0.3402985074626866,0.8061617458279846,0.9010554089709762
candR@3,0.35100891600187706,0.4527363184079602,0.8870346598202824,0.9518469656992085
candR@10,0.5082121069920226,0.5800995024875621,0.9332477535301669,0.9782321899736148
candR@30,0.661661191928672,0.700497512437811,0.9730423620025674,0.987467018469657
candR@100,0.7817925856405443,0.8009950248756219,0.9884467265725289,0.9953825857519789
candMRR,0.31949982856473297,0.42239603787572255,0.8534759000882646,0.928884775346336
hit1pred_nonm49%_P@top0.1,0.3051643192488263,,,
hit1pred_nonm90%_P@top0.1,0.0,0.0,0.3116883116883117,0.2781456953642384
hit3pred_nonm49%_P@top0.1,0.3004694835680751,,,
hit3pred_nonm90%_P@top0.1,0.0,0.02,0.05194805194805195,0.2119205298013245
hit10pred_nonm49%_P@top0.1,0.3427230046948357,,,
hit10pred_nonm90%_P@top0.1,0.014084507042253521,0.03,0.07792207792207792,0.2119205298013245
hit1pred_nonm48%_P@top0.1,,0.33,,0.7615894039735099
hit3pred_nonm48%_P@top0.1,,0.3,,0.8145695364238411
hit10pred_nonm48%_P@top0.1,,0.33,,0.8543046357615894
hit1pred_nonm51%_P@top0.1,,,0.6883116883116883,
hit3pred_nonm51%_P@top0.1,,,0.7012987012987013,
hit10pred_nonm51%_P@top0.1,,,0.7532467532467533,
